  PID TTY           TIME CMD
    1 ??        29:59.69 /sbin/launchd
  323 ??        24:58.56 /usr/libexec/logd
  325 ??         1:37.45 /usr/libexec/UserEventAgent (System)
  327 ??        27:07.64 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  328 ??         4:11.97 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  331 ??         0:57.77 /usr/sbin/systemstats --daemon
  335 ??         3:38.77 /usr/libexec/configd
  337 ??         4:23.85 /System/Library/CoreServices/powerd.bundle/powerd
  338 ??         0:01.12 /usr/libexec/IOMFB_bics_daemon
  342 ??         0:02.63 /usr/libexec/remoted
  346 ??         0:00.02 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  348 ??         0:18.43 /usr/libexec/watchdogd
  352 ??        39:10.56 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  354 ??         0:02.06 /usr/libexec/kernelmanagerd
  355 ??         1:30.31 /usr/libexec/diskarbitrationd
  359 ??         0:35.89 /usr/sbin/syslogd
  361 ??         1:06.71 /usr/libexec/thermalmonitord
  362 ??         3:51.03 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  363 ??        15:51.24 /usr/libexec/opendirectoryd
  365 ??         3:40.82 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  366 ??         2:20.00 /System/Library/CoreServices/launchservicesd
  367 ??         0:20.87 /usr/libexec/timed
  368 ??         0:04.26 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  369 ??         0:48.02 /usr/sbin/securityd -i
  371 ??        26:21.06 /usr/libexec/locationd
  372 ??         4:13.93 /usr/libexec/nesessionmanager
  374 ??         0:00.11 autofsd
  375 ??         7:51.76 /usr/libexec/dasd
  376 ??         0:00.40 /usr/libexec/corerepaird
  378 ??         1:54.70 /usr/sbin/distnoted daemon
  382 ??         0:06.16 /System/Library/CoreServices/logind
  383 ??         0:07.21 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  384 ??         0:00.07 /usr/sbin/KernelEventAgent
  388 ??        19:04.44 /usr/sbin/bluetoothd
  389 ??         4:18.53 /usr/sbin/notifyd
  391 ??        13:52.71 /usr/libexec/corebrightnessd --launchd
  392 ??         0:26.21 /usr/libexec/AirPlayXPCHelper
  393 ??         1:34.19 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  396 ??       711:26.84 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  398 ??         5:00.76 /usr/sbin/cfprefsd daemon
  399 ??        33:06.31 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  402 ??         0:21.09 /System/Library/CoreServices/coreservicesd
  403 ??        24:40.81 /usr/libexec/runningboardd
  404 ??         7:20.95 /usr/libexec/trustd
